schlcode	c_size	c_boys	c_girls	c_numcl	c_pik	c_status	c_leom	c_tip	c_num5rd	c_type	flgrm5	mrkgrm5	ngrm5	flmth5	mrkmth5	nmth5	towncode	townname	popcode	tip_a	grade	classid	classize	_type_	_freq_	cohsize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	studchk	misskov2	missagg	nmiss_k	nmiss_a	classct	math_n	flmath_n	nmath_n	verb_n	flverb_n	nverb_n	impute	nverb_m	nmath_m	tip_s	townid	tipuach
11005	54	24	30	9	1	2	1	"5"	2	2	27.27	73	55	20	73	55	26104	"ôéô öâÅ"	11	24	5	1	28	0	2	54	28	74.11	17.9	28	70.57	35.7	1	0	0	0	0	2	72.63728	20.01091	55	72.74473	27.25636	55	0			24	26104	24
11005	54	24	30	9	1	2	1	"5"	2	2	27.27	73	55	20	73	55	26104	"ôéô öâÅ"	11	24	5	2	26	0	2	54	27	71.11	22.2	27	75	18.5	1	0	0	0	0	2	72.63728	20.01091	55	72.74473	27.25636	55	0			24	26104	24
11006	37	21	16	12	2	2	1	"7"	2	2	31.43	67	35	48.57	56	35	26104	"ôéô öâÅ"	12	38	5	1	22	0	2	37	15	64	33.3	15	75.47	20	1	0	0	1	0	2	64	33.3	15	75.47	20	15	0			38	26104	38
11006	37	21	16	12	2	2	1	"7"	2	2	31.43	67	35	48.57	56	35	26104	"ôéô öâÅ"	12	38	5	2	15	0	2	37	20	50	60.0225	20	60.6475	40.0025		1	0	1	0	2	64	33.3	15	75.47	20	15	1	20	20	38	26104	38
11009	32	17	15	6	1	2	1	"1"	1	1	40.63	74	32	21.88	68	32	4622	"òáô åà"	11	6	5	1	32	0	1	32	32	68.38	21.9	32	73.97	40.6	1	0	0	0	0	1	68.38	21.9	32	73.97	40.6	32	0			6	4622	6
11010	68	34	34	15	1	1	1	""	2	2	32.69	69	52	26.42	61	53	30007	"çâåôÖòâ"	11	3	5	1	34	0	2	68	22	59.86	31.8	22	69.55	22.7	1	0	0	0	0	2	61.05321	26.41887	53	68.73077	32.68077	52	0			3	30007	3
11010	68	34	34	15	1	1	1	""	2	2	32.69	69	52	26.42	61	53	30007	"çâåôÖòâ"	11	3	5	2	34	0	2	68	31	61.9	22.6	30	68.13	40	1	0	0	0	0	2	61.05321	26.41887	53	68.73077	32.68077	52	0			3	30007	3
11013	86	54	32	17	1	1	1	"2"	3	3	40.96	69	83	38.27	62	81	30007	"çâåôÖòâ"	11	8	5	1	30	0	3	87	30	61.1	36.7	30	65.57	46.7	1	0	0	0	0	3	62.35889	38.26296	81	69.47277	40.99157	83	0			8	30007	8
11013	86	54	32	17	1	1	1	"2"	3	3	40.96	69	83	38.27	62	81	30007	"çâåôÖòâ"	11	8	5	2	26	0	3	87	24	59.42	45.8	24	69.92	41.7	1	0	0	0	0	3	62.35889	38.26296	81	69.47277	40.99157	83	0			8	30007	8
11013	86	54	32	17	1	1	1	"2"	3	3	40.96	69	83	38.27	62	81	30007	"çâåôÖòâ"	11	8	5	3	31	0	3	87	27	66.37	33.3	29	73.14	34.5	1	0	0	0	0	3	62.35889	38.26296	81	69.47277	40.99157	83	0			8	30007	8
11015	95	50	45	17	1	1	1	"1"	3	3	16.09	80	87	15.91	76	88	30007	"çâåôÖòâ"	11	6	5	1	32	0	3	95	30	76.57	16.7	29	79.66	13.8	1	0	0	0	0	3	76.08147	15.925	88	79.95759	16.0977	87	0			6	30007	6
11015	95	50	45	17	1	1	1	"1"	3	3	16.09	80	87	15.91	76	88	30007	"çâåôÖòâ"	11	6	5	2	32	0	3	95	31	71.29	22.6	31	75.94	22.6	1	0	0	0	0	3	76.08147	15.925	88	79.95759	16.0977	87	0			6	30007	6
11015	95	50	45	17	1	1	1	"1"	3	3	16.09	80	87	15.91	76	88	30007	"çâåôÖòâ"	11	6	5	3	31	0	3	95	27	81.04	7.4	27	84.89	11.1	1	0	0	0	0	3	76.08147	15.925	88	79.95759	16.0977	87	0			6	30007	6
11017	77	38	39	14	1	1	1	"2"	2	2	18.18	71	66	17.91	67	67	30007	"çâåôÖòâ"	11	9	5	2	39	0	2	77	37	65.78	21.6	35	70.37	22.9	1	0	0	1	0	2	65.78	21.6	37	70.37	22.9	35	0			9	30007	9
11017	77	38	39	14	1	1	1	"2"	2	2	18.18	71	66	17.91	67	67	30007	"çâåôÖòâ"	11	9	5	1	38	0	2	77	30	68.50467	13.359	31	71.71129	12.85097		1	0	1	0	2	65.78	21.6	37	70.37	22.9	35	1	31	30	9	30007	9
11020	97	56	41	14	1	1	1	"1"	3	3	18.82	78	85	14.43	74	97	30007	"çâåôÖòâ"	11	5	5	1	31	0	3	97	30	71.3	20	26	78.31	19.2	1	0	0	0	0	3	74.06948	14.43814	97	77.86059	18.82941	85	0			5	30007	5
11020	97	56	41	14	1	1	1	"1"	3	3	18.82	78	85	14.43	74	97	30007	"çâåôÖòâ"	11	5	5	2	33	0	3	97	34	77.26	11.8	30	78.1	16.7	1	0	0	0	0	3	74.06948	14.43814	97	77.86059	18.82941	85	0			5	30007	5
11020	97	56	41	14	1	1	1	"1"	3	3	18.82	78	85	14.43	74	97	30007	"çâåôÖòâ"	11	5	5	3	33	0	3	97	33	73.3	12.1	29	77.21	20.7	1	0	0	0	0	3	74.06948	14.43814	97	77.86059	18.82941	85	0			5	30007	5
11021	58	23	35	12	1	1	1	"2"	2	2	26.79	70	56	41.07	57	56	30007	"çâåôÖòâ"	11	11	5	1	30	0	2	58	28	57.86	35.7	28	72.64	28.6	1	0	0	0	0	2	57.2	41.05	56	70.175	26.8	56	0			11	30007	11
